method,recovery_budget_level,fault_type,executions,success_rate,silent_failure_rate,safe_degradation_rate,detected_failure_rate,recovery_success_rate,fault_scheduled_rate,fault_injected_rate,avg_model_calls,avg_tool_calls,avg_judge_calls,avg_recovery_steps,avg_input_tokens,avg_output_tokens,avg_cost_usd
self_healing,1,wrong_but_plausible,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4269.0,434.0,0.0
self_healing,2,malformed_output,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.6666666666666665,1.0,1.0,3890.0,384.3333333333333,0.0
self_healing,2,stale_context,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4080.0,410.5,0.0
self_healing,2,timeout,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.5,1.0,1.0,3832.0,387.25,0.0
self_healing,2,unavailable_tool,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4028.0,375.0,0.0
self_healing,2,wrong_but_plausible,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4104.0,397.0,0.0
self_healing,3,malformed_output,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.6666666666666665,1.0,1.0,3880.0,407.3333333333333,0.0
self_healing,3,stale_context,2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4072.0,403.5,0.0
self_healing,3,timeout,4,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.5,1.0,1.0,3835.5,395.0,0.0
self_healing,3,unavailable_tool,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4074.0,416.0,0.0
self_healing,3,wrong_but_plausible,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4102.0,405.0,0.0
