recovery_budget,fault_intensity,category,method,success_rate,recovery_rate,silent_failure_rate,avg_tool_calls,avg_model_calls,avg_verifier_calls,avg_recovery_steps,avg_latency_ms,avg_cost_proxy,executions
1,0.4,multi_step_api_workflow,retry_only,0.6333333333333333,0.25,0.0,2.6,0.0,0.0,0.9833333333333333,956.8333333333334,2.6,60
1,0.4,multi_step_api_workflow,self_healing,0.8166666666666667,0.3,0.0,2.566666666666667,0.0,1.0,0.48333333333333334,624.6666666666666,3.566666666666667,60
1,0.4,planning_tool_selection,full_replanning,0.8166666666666667,0.25,0.0,2.8666666666666667,1.4333333333333333,0.0,0.6166666666666667,436.8333333333333,4.3,60
1,0.4,planning_tool_selection,retry_only,0.9,0.31666666666666665,0.0,2.8333333333333335,0.0,0.0,0.5166666666666667,601.1666666666666,2.8333333333333335,60
1,0.4,planning_tool_selection,self_healing,0.8833333333333333,0.36666666666666664,0.0,2.966666666666667,0.0,1.0,0.48333333333333334,853.3333333333334,3.966666666666667,60
1,0.4,retrieval_evidence,full_replanning,0.9,0.2833333333333333,0.0,1.3833333333333333,1.3833333333333333,0.0,0.48333333333333334,766.6666666666666,2.7666666666666666,60
1,0.4,retrieval_evidence,retry_only,0.7666666666666667,0.3333333333333333,0.0,1.5666666666666667,0.0,0.0,0.8,1109.3333333333333,1.5666666666666667,60
1,0.4,retrieval_evidence,self_healing,0.95,0.31666666666666665,0.0,1.3666666666666667,0.0,1.0,0.36666666666666664,519.3333333333334,2.3666666666666667,60
2,0.2,calculation_verification,full_replanning,0.9666666666666667,0.16666666666666666,0.0,1.2666666666666666,1.2666666666666666,0.0,0.3,700.6666666666666,2.533333333333333,60
2,0.2,calculation_verification,retry_only,0.9666666666666667,0.25,0.0,1.3666666666666667,0.0,0.0,0.4,538.0,1.3666666666666667,60
2,0.2,calculation_verification,self_healing,1.0,0.18333333333333332,0.0,1.1833333333333333,0.0,1.0,0.18333333333333332,201.16666666666666,2.183333333333333,60
2,0.2,contradiction_resolution,full_replanning,1.0,0.18333333333333332,0.0,2.9,1.2,0.0,0.2,173.0,4.1,60
2,0.2,contradiction_resolution,retry_only,1.0,0.2,0.0,2.933333333333333,0.0,0.0,0.23333333333333334,175.66666666666666,2.933333333333333,60
2,0.2,contradiction_resolution,self_healing,1.0,0.13333333333333333,0.0,2.8333333333333335,0.0,1.0,0.13333333333333333,167.66666666666666,3.8333333333333335,60
2,0.2,multi_step_api_workflow,full_replanning,0.9666666666666667,0.25,0.0,2.55,1.4,0.0,0.43333333333333335,623.4166666666666,3.95,60
2,0.2,multi_step_api_workflow,retry_only,0.9166666666666666,0.36666666666666664,0.0,2.9166666666666665,0.0,0.0,0.7666666666666667,1218.0,2.9166666666666665,60
2,0.2,multi_step_api_workflow,self_healing,0.95,0.2833333333333333,0.0,2.566666666666667,0.0,1.0,0.43333333333333335,791.0833333333334,3.566666666666667,60
2,0.2,planning_tool_selection,full_replanning,1.0,0.2833333333333333,0.0,2.6333333333333333,1.3166666666666667,0.0,0.31666666666666665,345.8333333333333,3.95,60
2,0.2,planning_tool_selection,retry_only,1.0,0.18333333333333332,0.0,2.466666666666667,0.0,0.0,0.23333333333333334,340.1666666666667,2.466666666666667,60
2,0.2,planning_tool_selection,self_healing,1.0,0.21666666666666667,0.0,2.433333333333333,0.0,1.0,0.21666666666666667,173.66666666666666,3.433333333333333,60
2,0.2,retrieval_evidence,full_replanning,1.0,0.18333333333333332,0.0,1.2166666666666666,1.2166666666666666,0.0,0.21666666666666667,343.3333333333333,2.433333333333333,60
2,0.2,retrieval_evidence,retry_only,1.0,0.18333333333333332,0.0,1.2,0.0,0.0,0.2,342.0,1.2,60
2,0.2,retrieval_evidence,self_healing,1.0,0.2,0.0,1.2166666666666666,0.0,1.0,0.21666666666666667,261.3333333333333,2.216666666666667,60
2,0.4,calculation_verification,full_replanning,0.9833333333333333,0.3,0.0,1.4,1.4,0.0,0.4166666666666667,456.1666666666667,2.8,60
2,0.4,calculation_verification,retry_only,0.8833333333333333,0.38333333333333336,0.0,1.7166666666666666,0.0,0.0,0.8333333333333334,1045.5,1.7166666666666666,60
2,0.4,calculation_verification,self_healing,1.0,0.35,0.0,1.4166666666666667,0.0,1.0,0.4166666666666667,539.5,2.4166666666666665,60
2,0.4,contradiction_resolution,full_replanning,0.9333333333333333,0.35,0.0,3.1,1.5333333333333334,0.0,0.6,193.33333333333334,4.633333333333334,60
2,0.4,contradiction_resolution,retry_only,0.95,0.31666666666666665,0.0,3.1,0.0,0.0,0.55,192.25,3.1,60
2,0.4,contradiction_resolution,self_healing,1.0,0.36666666666666664,0.0,3.1333333333333333,0.0,1.0,0.43333333333333335,191.66666666666666,4.133333333333334,60
2,0.4,multi_step_api_workflow,full_replanning,0.6666666666666666,0.26666666666666666,0.0,3.3333333333333335,2.033333333333333,0.0,1.3666666666666667,2971.0833333333335,5.366666666666666,60
2,0.4,multi_step_api_workflow,retry_only,0.7666666666666667,0.38333333333333336,0.0,3.1666666666666665,0.0,0.0,1.2166666666666666,1397.75,3.1666666666666665,60
2,0.4,multi_step_api_workflow,self_healing,0.8666666666666667,0.35,0.0,2.8666666666666667,0.0,1.0,0.6666666666666666,722.0,3.8666666666666667,60
2,0.4,planning_tool_selection,full_replanning,0.9666666666666667,0.4,0.0,3.2333333333333334,1.6166666666666667,0.0,0.65,532.6666666666666,4.85,60
2,0.4,planning_tool_selection,retry_only,0.9833333333333333,0.4,0.0,3.033333333333333,0.0,0.0,0.5333333333333333,608.8333333333334,3.033333333333333,60
2,0.4,planning_tool_selection,self_healing,0.9833333333333333,0.4666666666666667,0.0,3.2,0.0,1.0,0.6,862.3333333333334,4.2,60
2,0.4,retrieval_evidence,full_replanning,0.95,0.3333333333333333,0.0,1.4833333333333334,1.4833333333333334,0.0,0.5333333333333333,774.6666666666666,2.966666666666667,60
2,0.4,retrieval_evidence,retry_only,0.9166666666666666,0.48333333333333334,0.0,1.8,0.0,0.0,0.8833333333333333,1128.0,1.8,60
2,0.4,retrieval_evidence,self_healing,0.9833333333333333,0.35,0.0,1.4166666666666667,0.0,1.0,0.4166666666666667,523.3333333333334,2.4166666666666665,60
3,0.2,calculation_verification,full_replanning,1.0,0.2,0.0,1.3,1.3,0.0,0.3,701.6666666666666,2.6,60
3,0.2,calculation_verification,retry_only,0.9833333333333333,0.26666666666666666,0.0,1.4,0.0,0.0,0.4166666666666667,621.8333333333334,1.4,60
3,0.2,calculation_verification,self_healing,1.0,0.18333333333333332,0.0,1.1833333333333333,0.0,1.0,0.18333333333333332,201.16666666666666,2.183333333333333,60
3,0.2,contradiction_resolution,full_replanning,1.0,0.18333333333333332,0.0,2.9,1.2,0.0,0.2,173.0,4.1,60
3,0.2,contradiction_resolution,retry_only,1.0,0.2,0.0,2.933333333333333,0.0,0.0,0.23333333333333334,175.66666666666666,2.933333333333333,60
3,0.2,contradiction_resolution,self_healing,1.0,0.13333333333333333,0.0,2.8333333333333335,0.0,1.0,0.13333333333333333,167.66666666666666,3.8333333333333335,60
3,0.2,multi_step_api_workflow,full_replanning,1.0,0.2833333333333333,0.0,2.6166666666666667,1.4333333333333333,0.0,0.43333333333333335,626.8333333333334,4.05,60
3,0.2,multi_step_api_workflow,retry_only,0.95,0.4,0.0,3.033333333333333,0.0,0.0,0.8166666666666667,1306.3333333333333,3.033333333333333,60
