recovery_budget,fault_intensity,actual_fault_type,method,success_rate,recovery_rate,silent_failure_rate,avg_tool_calls,avg_model_calls,avg_verifier_calls,avg_recovery_steps,avg_latency_ms,avg_cost_proxy,executions
2,0.2,malformed_output,retry_only,0.75,0.75,0.0,3.0833333333333335,0.0,0.0,1.8333333333333333,952.9166666666666,3.0833333333333335,12
2,0.2,malformed_output,self_healing,1.0,1.0,0.0,3.1538461538461537,0.0,1.0,1.0,156.92307692307693,4.153846153846154,13
2,0.2,partial_response,full_replanning,0.9230769230769231,0.9230769230769231,0.0,3.4615384615384617,2.4615384615384617,0.0,1.5384615384615385,1326.923076923077,5.923076923076923,13
2,0.2,partial_response,retry_only,0.8823529411764706,0.8823529411764706,0.0,3.5294117647058822,0.0,0.0,1.588235294117647,1632.6470588235295,3.5294117647058822,17
2,0.2,partial_response,self_healing,0.9090909090909091,0.9090909090909091,0.0,2.8181818181818183,0.0,1.0,1.0909090909090908,158.1818181818182,3.8181818181818183,11
2,0.2,schema_drift,full_replanning,0.8571428571428571,0.8571428571428571,0.0,3.857142857142857,2.380952380952381,0.0,1.5238095238095237,1336.1904761904761,6.238095238095238,21
2,0.2,schema_drift,retry_only,0.7083333333333334,0.7083333333333334,0.0,3.7916666666666665,0.0,0.0,1.875,1393.3333333333333,3.7916666666666665,24
2,0.2,schema_drift,self_healing,0.8333333333333334,0.8333333333333334,0.0,3.5555555555555554,0.0,1.0,1.2777777777777777,1261.9444444444443,4.555555555555555,18
2,0.2,stale_context,full_replanning,1.0,1.0,0.0,2.7142857142857144,2.142857142857143,0.0,1.1428571428571428,198.57142857142858,4.857142857142857,7
2,0.2,stale_context,retry_only,1.0,1.0,0.0,3.0,0.0,0.0,1.125,210.0,3.0,8
2,0.2,stale_context,self_healing,1.0,1.0,0.0,2.375,0.0,1.0,1.0,176.25,3.375,8
2,0.2,timeout,full_replanning,0.7,0.7,0.0,3.45,2.6,0.0,1.9,6097.25,6.05,20
2,0.2,timeout,retry_only,0.8,0.8,0.0,3.52,0.0,0.0,1.76,5511.6,3.52,25
2,0.2,timeout,self_healing,0.6923076923076923,0.6923076923076923,0.0,3.6153846153846154,0.0,1.0,1.6153846153846154,7415.0,4.615384615384615,13
2,0.2,unavailable_tool,full_replanning,0.8888888888888888,0.8888888888888888,0.0,4.444444444444445,2.4444444444444446,0.0,1.5555555555555556,1844.4444444444443,6.888888888888889,9
2,0.2,unavailable_tool,retry_only,0.7647058823529411,0.7647058823529411,0.0,4.0588235294117645,0.0,0.0,1.8235294117647058,1353.235294117647,4.0588235294117645,17
2,0.2,unavailable_tool,self_healing,0.8888888888888888,0.8888888888888888,0.0,3.888888888888889,0.0,1.0,1.3333333333333333,1283.3333333333333,4.888888888888889,9
2,0.4,contradictory_evidence,full_replanning,0.6,0.6,0.0,3.5,2.6,0.0,2.0,247.0,6.1,10
2,0.4,contradictory_evidence,retry_only,0.8571428571428571,0.8571428571428571,0.0,4.0,0.0,0.0,1.5714285714285714,267.14285714285717,4.0,7
2,0.4,contradictory_evidence,self_healing,1.0,1.0,0.0,3.8333333333333335,0.0,1.0,1.6666666666666667,258.3333333333333,4.833333333333333,6
2,0.4,malformed_output,full_replanning,0.8285714285714286,0.8285714285714286,0.0,3.8285714285714287,2.5714285714285716,0.0,1.7428571428571429,898.0,6.4,35
2,0.4,malformed_output,retry_only,0.7272727272727273,0.7272727272727273,0.0,3.272727272727273,0.0,0.0,1.8863636363636365,1079.2045454545455,3.272727272727273,44
2,0.4,malformed_output,self_healing,1.0,1.0,0.0,3.25,0.0,1.0,1.2916666666666667,576.875,4.25,24
2,0.4,partial_response,full_replanning,0.5116279069767442,0.5116279069767442,0.0,3.372093023255814,2.6744186046511627,0.0,2.1627906976744184,1801.046511627907,6.046511627906977,43
2,0.4,partial_response,retry_only,0.48,0.48,0.0,3.16,0.0,0.0,2.24,1173.6,3.16,50
2,0.4,partial_response,self_healing,0.8709677419354839,0.8709677419354839,0.0,3.064516129032258,0.0,1.0,1.2580645161290323,972.5806451612904,4.064516129032258,31
2,0.4,schema_drift,full_replanning,0.5666666666666667,0.5666666666666667,0.0,4.033333333333333,2.6,0.0,2.033333333333333,1660.3333333333333,6.633333333333334,30
2,0.4,schema_drift,retry_only,0.5306122448979592,0.5306122448979592,0.0,3.9591836734693877,0.0,0.0,2.142857142857143,980.0,3.9591836734693877,49
2,0.4,schema_drift,self_healing,0.8181818181818182,0.8181818181818182,0.0,4.03030303030303,0.0,1.0,1.393939393939394,618.6363636363636,5.03030303030303,33
2,0.4,stale_context,full_replanning,0.7058823529411765,0.7058823529411765,0.0,3.235294117647059,2.411764705882353,0.0,1.7058823529411764,809.4117647058823,5.647058823529412,17
2,0.4,stale_context,retry_only,0.85,0.85,0.0,3.2,0.0,0.0,1.7,234.25,3.2,20
2,0.4,stale_context,self_healing,0.9411764705882353,0.9411764705882353,0.0,3.176470588235294,0.0,1.0,1.2352941176470589,510.0,4.176470588235294,17
2,0.4,timeout,full_replanning,0.4807692307692308,0.4807692307692308,0.0,4.0576923076923075,2.769230769230769,0.0,2.2884615384615383,7243.653846153846,6.826923076923077,52
2,0.4,timeout,retry_only,0.6888888888888889,0.6888888888888889,0.0,3.3777777777777778,0.0,0.0,1.8888888888888888,5997.777777777777,3.3777777777777778,45
2,0.4,timeout,self_healing,0.6666666666666666,0.6666666666666666,0.0,3.7037037037037037,0.0,1.0,1.6666666666666667,6579.444444444444,4.703703703703703,27
2,0.4,unavailable_tool,full_replanning,0.48148148148148145,0.48148148148148145,0.0,4.777777777777778,2.740740740740741,0.0,2.259259259259259,2954.074074074074,7.518518518518518,27
2,0.4,unavailable_tool,retry_only,0.5769230769230769,0.5769230769230769,0.0,4.384615384615385,0.0,0.0,2.1923076923076925,1352.5,4.384615384615385,26
2,0.4,unavailable_tool,self_healing,0.5833333333333334,0.5833333333333334,0.0,4.208333333333333,0.0,1.0,1.5833333333333333,1837.7083333333333,5.208333333333333,24
3,0.2,contradictory_evidence,full_replanning,1.0,1.0,0.0,4.0,2.25,0.0,1.25,260.0,6.25,4
3,0.2,contradictory_evidence,retry_only,1.0,1.0,0.0,4.0,0.0,0.0,1.4285714285714286,263.57142857142856,4.0,7
3,0.2,contradictory_evidence,self_healing,1.0,1.0,0.0,3.5,0.0,1.0,1.0,225.0,4.5,2
3,0.2,malformed_output,full_replanning,1.0,1.0,0.0,3.4285714285714284,2.357142857142857,0.0,1.3571428571428572,1232.142857142857,5.785714285714286,14
3,0.2,malformed_output,retry_only,0.9166666666666666,0.9166666666666666,0.0,3.3333333333333335,0.0,0.0,1.9166666666666667,1374.5833333333333,3.3333333333333335,12
3,0.2,malformed_output,self_healing,1.0,1.0,0.0,3.1538461538461537,0.0,1.0,1.0,156.92307692307693,4.153846153846154,13
3,0.2,partial_response,full_replanning,1.0,1.0,0.0,3.6153846153846154,2.5384615384615383,0.0,1.5384615384615385,1333.4615384615386,6.153846153846154,13
3,0.2,partial_response,retry_only,0.9444444444444444,0.9444444444444444,0.0,3.7777777777777777,0.0,0.0,1.7222222222222223,2114.4444444444443,3.7777777777777777,18
3,0.2,partial_response,self_healing,1.0,1.0,0.0,3.0,0.0,1.0,1.1818181818181819,169.0909090909091,4.0,11
3,0.2,schema_drift,full_replanning,1.0,1.0,0.0,4.0476190476190474,2.5238095238095237,0.0,1.5238095238095237,1343.095238095238,6.571428571428571,21
3,0.2,schema_drift,retry_only,0.7916666666666666,0.7916666666666666,0.0,4.125,0.0,0.0,2.0833333333333335,2027.0833333333333,4.125,24
3,0.2,schema_drift,self_healing,1.0,1.0,0.0,3.888888888888889,0.0,1.0,1.4444444444444444,1280.0,4.888888888888889,18
